Corona Virus data from WorldMeters 2020,,,,,,,,,,,,,
,,,,,,,,,,,,,
#,"Country,",Total,New,Total,New,Total,Active,"Serious,",TotÿCases/,Deaths/,Total,Tests/,Population
,Other,Cases,Cases,Deaths,Deaths,Recovered,Cases,Critical,1M pop,1M pop,Tests,1M pop,
197,Saint Lucia,18,,,,18,0,,98,,"1,012","5,513","183,554"
198,Dominica,16,,,,16,0,,222,,433,"6,016","71,971"
199,Saint Kitts and Nevis,15,,,,15,0,,282,,394,"7,411","53,166"
200,Falkland Islands,13,,,,13,0,,"3,746",,503,"144,957","3,470"
201,Greenland,13,,,,11,2,,229,,"2,030","35,763","56,762"
202,Suriname,12,,1,,9,2,,20,2,782,"1,334","586,164"
203,Turks and Caicos,12,,1,,10,1,,310,26,129,"3,336","38,669"
204,Vatican City,12,,,,2,10,,"14,981",,,,801
205,Montserrat,11,,1,,10,0,,"2,204",200,36,"7,212","4,992"
206,Seychelles,11,,,,11,0,,112,,,,"98,294"
207,MS Zaandam,9,,2,,,7,,,,,,0
208,Western Sahara,9,,1,,6,2,,15,2,,,"595,905"
209,British Virgin Islands,8,,1,,7,0,,265,33,167,"5,527","30,213"
210,Papua New Guinea,8,,,,8,0,,0.9,,"2,402",269,"8,931,009"
211,Caribbean Netherlands,6,,,,6,0,,229,,424,"16,183","26,201"
212,St. Barth,6,,,,6,0,,608,,137,"13,875","9,874"
213,Anguilla,3,,,,3,0,,200,,41,"2,735","14,991"
214,Lesotho,2,,,,1,1,,0.9,,283,132,"2,140,745"
215,Saint Pierre Miquelon,1,,,,1,0,,173,,,,"5,796"
,Total:,"6,086,407","59,989","368,468","2,046","2,697,211","3,020,728","53,559",780.8,47.3,,,
